Title,Price,Type,Description
Lexus IS 250 4WD 2014 White,"_ 23,000,000",Foreign Used,"Fresh off the boat ... 
Super clean Lexus IS250 toks in perfect working condition.
Buy and drive wit..."
Lexus RX 2013 White,"_ 21,500,000",Local Used,Sound engine and gear A/c chilling ice clean in and out. Upgraded to 2020. Just 1 year used. 2022 on...
Toyota Camry 2010 Black,"_ 8,500,000",Local Used,"Venza engine! 
a neatly used toyota camry le 2010 model with custom duty paid in an excellent..."
Toyota Tundra 2014 Red,"_ 38,500,000",Foreign Used,Exclusively offroad. king of the road exotic cars
Lexus RX 350 4x4 2009 Red,"_ 13,500,000",Foreign Used,2009 lexus rx350 new arrivals very clean excellent performance complete accident free
Toyota Highlander XLE AWD 2020 White,"_ 65,000,000",Foreign Used,2020 model Toyota Highlander XLE AWD accident free
Toyota Camry 2013 Red,"_ 13,850,000",Foreign Used,Very clean. Partly first body. No ossues whatsoever. Sound engine. Good gear. Alloy wheels. Chilling...
Honda Accord 2010 Silver,"_ 5,300,000",Local Used,"The gear and engine 
The sound and tyres
Automatic transmission, Nigerian used 
Ac  cooling..."
Mercedes-Benz M Class ML 350 4Matic 2013 White,"_ 24,500,000",Foreign Used,"The gear, engine,sound,tyres and ac are good 
Automatic transmission, foreign used 
It clean and..."
Toyota Camry 2003 Silver,"_ 5,900,000",Foreign Used,"Toyota Camry 2003
Foreign used
Sound Transmission 
Sound Engine 
Sharp Suspension 
Duty Fully Paid"
Lexus RX 350 AWD 2016 White,"_ 46,000,000",Foreign Used,Navigation system reverse camera automatic transmission newly arrived bigger screen and lots more...
Lexus RX 350 2010 Beige,"_ 21,300,000",Foreign Used,Newly arrived super clean and sound condition custome duty paid smooth drive nothing to fix
Toyota Sienna 2008 Red,"_ 7,000,000",Local Used,"Sharp clean one year Registered 2008 Toyota Sienna
Absolutely nothing to fix 
Engine is intact
Air..."
Honda Pilot 2005 Silver,"_ 3,450,000",Local Used,This car is in perfect working condition
Toyota Corolla 2010 Gray,"_ 6,750,000",Local Used,"Neatly used 2010 Toyota Corolla firstuser/first registration/ flashed on first body.
Sound engine..."
Mercedes-Benz CLA-Class 2020 Red,"_ 60,000,000",Foreign Used,Automatic transmission Mercedes-Benz CLA250 2020 direct sweet ride car like jet accident free 60m
Toyota Camry 2010 Gray,"_ 5,500,000",Local Used,"Clean 2010 toyota camry xle... full option with keyless entry, reverse camera. everything is working..."
Lexus RX 300 4WD 2000 Gold,"_ 3,430,000",Local Used,"2000 lexus rx300
nigerian used
first body pan
first owner,first user
going forward this car is sweet..."
Toyota Corolla 2012 Silver,"_ 12,500,000",Foreign Used,2012 silver Toyota corolla le foreign used car with fully duty paid tin can cleared buy and drive...
Land Rover Range Rover Velar P340 R-Dynamic S 4x4 2020 White,"_ 73,000,000",Foreign Used,"Super clean 2020 velar, with just 5k miles in mint condition."
Lexus RX 350 2010 Burgundy,"_ 21,500,000",Foreign Used,Foreign used 010 rx 350. Sound engine and gear transmission. Factory fitted Ac. Buy and drive....
GAC GA3 2018 Black,"_ 7,000,000",Local Used,Very clean bought brand new. Its buy and drive
Mercedes-Benz M Class ML 350 4Matic 2012 White,"_ 25,400,000",Foreign Used,"Mercedes Benz ml350 2012 4matic
Foreign use
Function engine and gear
Clean interior and exterior 
Ac..."
Toyota Camry 2004 Red,"_ 3,800,000",Local Used,"The car engine, gear and AC are working perfectly. Good tyres with alloy, neat interior and smooth..."
Honda Crosstour 2010 Gray,"_ 5,565,000",Local Used,
Toyota Highlander Limited 3.5L 2WD 2013 Black,"_ 19,000,000",Foreign Used,"Foreign used Toyota Highlander limited key 2013 model with black colour, CD/DVD/DVD, no dent,..."
Toyota Land Cruiser 2020 Black,"_ 78,000,000",Foreign Used,Very clean land cruiser 2020 buy and drive
Ford Taurus Limited 2011 Burgundy,"_ 5,500,000",Local Used,"This car is Solid, It's just like Tokunbo. Everything working perfectly, Sound engine, perfect gear,..."
Mercedes-Benz M Class 2013 Gray,"_ 24,250,000",Foreign Used,very sharp direct belgium  2013 ml 350.clean title no accident historyreverse camera roof top power...
Lexus IS 250 2008 Red,"_ 7,800,000",Local Used,Best around Is250 buy and drive nothing to fix
Lexus LX 570 AWD 2013 Black,"_ 57,500,000",Foreign Used,"Super clean & Accident FREE 2013 LX 570 Tokunbo with thumbs start, reverse camera and Bluetooth with..."
Mercedes-Benz GL-Class GL 450 2013 Black,"_ 19,550,000",Local Used,Pure first few months use gl450 2013 fullest option accident free with the very sound engine gear...
Lexus GX 460 Luxury 2020 Black,"_ 39,000,000",Local Used,Neatly used 2015 face lifted to 2020
Mercedes-Benz M Class 2006 Gold,"_ 7,950,000",Local Used,Register 2006 Mercedes Benz ML350 Gold On Gold Colour First Body Cool Engine Free Accident Nothing...
Toyota Hilux 2010 White,"_ 17,000,000",Local Used,Nealty Used Toyota Hilux Fuel Engine Manual Transmission Pickup Company Used Neatly Painted...
Lexus RX 350L Luxury AWD 2018 Black,"_ 63,000,000",Foreign Used,Long wheel base. 3 row seat with captain seat. Premium. In a very good condition.
Hyundai Azera 2017 Black,"_ 123,000,000",Foreign Used,"*HYUNDAI AZERA*
 Super Fullest Option
_ _ 
_ *Model:* 2024
_ *Price: _123M*
_ *Location:* Abuja 
_..."
Lexus RX 350 2017 White,"_ 46,200,000",Foreign Used,
Toyota RAV4 2011 Blue,"_ 10,550,000",Foreign Used,"Newly Arrived,Accident Free,Mo mechanical fault,Air conditioning system,Everything Working..."
Toyota Camry 2016 Black,"_ 12,800,000",Local Used,">>Tokunbo standard 2016 Toyota Camry,
>>All features good,
>>Come for inspection and test drive."
Mercedes-Benz S-Class 2008 Black,"_ 5,000,000",Local Used,"Super sharp, first body with nothing to fix. Original duty, clean title. This car is blessed"
Toyota Corolla 2017 Red,"_ 18,500,000",Foreign Used,"Newly arrival Toyota Corolla SE, 2017 model wine Red color,
Automatic transmission,
First body..."
Lexus RX 330 2006 Burgundy,"_ 12,900,000",Foreign Used,Original parts available first body and accident free with recent duty payment
Lexus ES 350 2009 Gray,"_ 12,500,000",Foreign Used,"New arrived with duty, pure accident free"
Toyota Hilux 2013 White,"_ 17,000,000",Local Used,Super Sharp Nigeria Used Toyota Hilux Fuel Engine Manual Transmission 2013 Model Everything working...
Toyota Camry 2010 Gray,"_ 7,700,000",Local Used,"Super clean TOKUMBO standard 
Toyota Camry Le 
2010 model 
Fabrics interior 
Engine  
Gear  
Ac ..."
Toyota Matrix 2004 Blue,"_ 3,960,000",Local Used,"This 2004 neatly used Toyota Matrix is available for sale.Engine is sound, Gear selects properly and..."
Honda Accord 2013 Blue,"_ 14,000,000",Local Used,"Honda Accord 2013 model with factory dashboard, accident free, custom duty fully paid, reverse..."
Honda CR-V 2.4 EX-L Automatic 2008 Blue,"_ 8,800,000",Foreign Used,Honda CR-V 2008 full opinion
Toyota Matrix 2004 Blue,"_ 4,300,000",Local Used,"Toyota matrix
model 04
Engine working perfect 
Gear working perfect 
Ac working perfect 
Flash on..."
Toyota 4-Runner SR5 V6 2007 Blue,"_ 6,350,000",Local Used,Neatly used 4Runner everything intact and functional buy and drive with sound untouched engine and...
Mercedes-Benz M Class ML 350 4Matic 2012 Brown,"_ 25,200,000",Foreign Used,"Tokunbo 2012 Mercedes-Benz ML 350, Brown Color, Keyless Entry, Accident Free, Run and Drive, Clean..."
Hyundai Sonata 2015 White,"_ 15,800,000",Foreign Used,"Hyundai sonata 2015 model full option with factory dashboard and leather seats, keyless , accident..."
Toyota Highlander Limited V6 AWD 2002 Gold,"_ 5,100,000",Local Used,"Toyota highlander 2002... v6
registered ... 2row... 
engine and gear    
ac chilllling  
painted on..."
Mazda CX-9 Sport AWD 2008 Brown,"_ 5,500,000",Foreign Used,Super clean used but not registered Mazda CX-9 first body pan working perfectly
Lexus RX 330 2005 Black,"_ 7,450,000",Local Used,"Lexus Rx 330 2005 Registered ,First body ,Tokunbo standard"
